22,ACEH,ACEH UTARA,MEURAH MULIA,BEURINGEN,"Jalan Putroe Beutong, Gampong Beuringen, Kecamatan Meurah Mulia, Kabupaten Aceh Utara, Aceh 24372",SPPG Aceh Utara Meurah Mulia Gampong Teungoh
23,JAWA TIMUR,SIDOARJO,WARU,PEPELEGI,"Jl. Joyoboyo No.66, Legi, Pepelegi, Waru, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Waru Pepelegi
24,JAWA TIMUR,GRESIK,DRIYOREJO,DRIYOREJO,"Jl. Kh Abdurohim 01 Desa Driyorejo, Kec. Driyorejo, Kab. Gresik, Jawa Timur",SPPG Gresik Driyorejo Driyorejo 2
25,JAWA TENGAH,CILACAP,ADIPALA,DOPLANG,"Jl. Kartini Desa Doplang, Kecamatan Adipala, Kabupaten Cilacap, Jawa Tengah",SPPG Cilacap Adipala Doplang 3
26,JAWA TIMUR,KOTA PASURUAN,PANGGUNGREJO,PEKUNCEN,"Jl. Pahlawan No.29, Pekuncen, Kec. Panggungrejo, Kota Pasuruan, Jawa Timur",SPPG Kota Pasuruan Panggungrejo Pekuncen 3
27,KALIMANTAN SELATAN,BALANGAN,LAMPIHONG,TAMPANG,Desa Tampang Kecamatan Lampihong Kabupaten Balangan Kalimantan Selatan,SPPG Balangan Lampihong Tampang
28,KALIMANTAN SELATAN,BANJAR,SIMPANG EMPAT,CABI,"Jl. A. Yani 15 Km 65 Rt 01, Desa Cabi, Kec. Simpang Empat, Kab. Banjar, Kalimantan Selatan",SPPG Banjar Simpang Empat Cabi
29,JAWA TIMUR,SAMPANG,KARANGPENANG,TLAMBAH,"Dsn Tlambah Tengah, Ds Tlambah kec. Karang Penang Kab.Samag Jawa timur",SPPG Sampang Karangpenang Tlambah 4
30,LAMPUNG,LAMPUNG TENGAH,TERBANGGI BESAR,NAMBAH DADI,"Dusun Nambah Harum, Nambah Dadi, Kecamatan Terbanggi Besar, Kabupaten Lampung Tengah, Lampung",SPPG Lampung Tengah Terbanggi Besar Nambah Dadi
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
31,JAWA BARAT,INDRAMAYU,TUKDANA,KERTICALA,"Blok Puskesmas RT 013 RW 003, Desa Kerticala, Kecamatan Tukdana, Kabupaten Indramayu, Provinsi Jawa Barat",SPPG Indramayu Tukdana Kerticala
32,JAWA BARAT,BOGOR,TAJURHALANG,TAJURHALANG,"Jl. Jatayu, Kampung Karet No.3 Rt 001 Rw 011, Desa Tajur Halang, Kecamatan Tajur Halang, Kabupaten Bogor, Jawa Barat",SPPG Bogor Tajurhalang Tajurhalang 5
33,JAWA TIMUR,SAMPANG,KETAPANG,KETAPANG TIMUR,"Jl. Raya Torowan, Ketapang Timur, Kec. Ketapang, Kab. Sampang, Jawa Timur",SPPG Sampang Ketapang Ketapang Timur 2
34,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,"Jl. Sungai Kendal No 120 Rt 001 Rw 08 Kel. Rorotan, Kec. Cilincing, Kota Adm. Jakarta Utara, Dki Jakarta",SPPG Jakut Cilincing Rorotan 8
35,LAMPUNG,KOTA METRO,METRO UTARA,PURWOSARI,"Jl. Walet No.67, RT 021 RW 03, Kel. Purwosari, Kec. Metro Utara, Kota Metro, Lampung",SPPG Kota Metro Metro Utara Purwosari 4
36,JAWA BARAT,SUKABUMI,PALABUHANRATU,JAYANTI,"Kampung Jayanti Rt 001 Rw 004, Desa Jayanti, Kecamatan Palabuhanratu Kabupaten Sukabumi, Provinsi Jawa Barat",SPPG Sukabumi Palabuhanratu Jayanti
37,SULAWESI TENGGARA,KOTA KENDARI,MANDONGA,KORUMBA,"Jl. Made Sabara, Kelurahan Korumba, Kecamatan Mandonga, Kota Kendari, Sulawesi Tenggara",SPPG Kota Kendari Mandonga Korumba
38,JAWA TENGAH,KARANGANYAR,GONDANGREJO,JATIKUWUNG,"Jl. Azzaria Raya, Gondangrejo, Jatikuwung, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah",SPPG Karanganyar Gondangrejo Jatikuwung
39,BANTEN,KOTA SERANG,TAKTAKAN,SEPANG,"Jl. 45 Kigede Link Kubang Cowe Rt.04 Rw.02 Kel. Sepang Kec. Taktakan Kota Serang, Banten",SPPG Kota Serang Taktakan Sepang
40,JAWA TIMUR,LAMONGAN,LAMONGAN,SUKOMULYO,"JL. Mastrip 81, Sumbermulyo RT002 RW002 Sukomulyo, Lamongan, Jatim",SPPG Lamongan Lamongan Sukomulyo
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
41,JAWA TIMUR,BLITAR,NGLEGOK,NGLEGOK,"Jl. Penataran Rt/Rw 01/05 Desa/Kelurahan Kedawung Kec. Nglegok Kab Blitar, Jawa Timur",SPPG Blitar Nglegok Kedawung
42,LAMPUNG,PRINGSEWU,SUKOHARJO,PANDAN SARI,"Pandan Sari, Rt 003 Rw 002, Pandansari, Kec. Sukoharjo, Kab. Pringsewu, Lampung",SPPG Pringsewu Sukoharjo Pandan Sari
43,JAWA BARAT,BOGOR,CIBINONG,CIRIUNG,"Jl. Rawa Benteur 2, Lingkungan 01 Citatah Dalam, Rt 02/02 No 11 Kel. Ciriung, Kec. Cibinong, Kab. Bogor, Jawa Barat",SPPG Bogor Cibinong Ciriung
44,JAWA TENGAH,PATI,MARGOYOSO,CEBOLEK KIDUL,Jl. Tayu-Juwana Rt.02 Rw.06 Cebolek Kidul Margoyoso Pati,SPPG Pati Margoyoso Cebolek Kidul 1
45,LAMPUNG,PESAWARAN,GEDONG TATAAN,NEGERI SAKTI,"Jl. Way Ratai Dusun Negeri Tua Rt 004 Rw 002 Desa Negeri Sakti Kec. Gedong Tataan Kab. Pesawaran, Lampung",SPPG Pesawaran Gedong Tataan Negeri Sakti
46,JAWA TENGAH,WONOSOBO,WONOSOBO,PAGERKUKUH,"Jlegong Rt. 002/Rw. 006, Desa Pagerkukuh, Kec. Wonosobo, Kab. Wonosobo, Jawa Tengah",SPPG Wonosobo Wonosobo Pagerkukuh
47,JAWA TENGAH,BANYUMAS,PURWOKERTO SELATAN,KARANGPUCUNG,"Jl. Pembina IV Rt 05 Rw 06 Kelurahan Karangpucung, Kec. Purwokerto Selatan, Kab. Banyumas, Jawa Tengah",SPPG Banyumas Purwokerto Selatan Karangpucung
48,JAWA BARAT,SUKABUMI,CIKIDANG,NANGKAKONENG,"Kampung Nangka Koneng Rt 01 Rw 01, Desa Nangkakoneng, Kec. Cikidang, Kab. Sukabumi, Jawa Barat",SPPG Sukabumi Cikidang Nangkakoneng
49,NUSA TENGGARA TIMUR,NAGEKEO,AESESA,MBAY I,"Ameaba, Rt. 015 Rw. 000, Kel. Mbay I, Kecamatan Aesesa, Kab. Nagekeo Nusa Tenggara Timur",SPPG Nagekeo Aesesa Mbay I
50,JAWA TIMUR,MADIUN,GEGER,SUMBEREJO,"Jl. Sultan Agung, Karanganyar, Sumberejo, Kec. Geger, Kabupaten Madiun, Jawa Timur 63171",SPPG Madiun Geger Sumberejo
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
51,JAWA TENGAH,KENDAL,KALIWUNGU,MOROREJO,"RT 5 RW 6, Dusun Padolengan, Desa Mororejo, Kec. Kaliwungu, Kab. Kendal, Jawa Tengah",SPPG Kendal Kaliwungu Mororejo 3
52,JAWA BARAT,KOTA BOGOR,BOGOR UTARA,TEGAL GUNDIL,"Jl. Bangbarung Raya Achmad Sobana, No. 106, Tegal Gundil, Kecamatan Bogor Utara, Kota Bogor, Jawa Barat",SPPG Kota Bogor Bogor Utara Tegal Gundil 8
53,JAWA TIMUR,MALANG,SUMBERPUCUNG,KARANGKATES,"Jl. Jendral Basuki Ahmad, Desa Karangkates, Kabupaten Malang, Jawa Timur, Karangkates, Sumberpucung, Kab. Malang, Jawa Timur",SPPG Malang Sumberpucung Karangkates
54,JAWA BARAT,SUKABUMI,PARUNGKUDA,BOJONGKOKOSAN,"Kampung Pasir Baliung 4.B Rt.03 Rw.04 Desa Bojongkokosan, Kec. Parungkuda, Kab. Sukabumi, Jawa Barat",SPPG Sukabumi Parungkuda Bojongkokosan 4
55,SUMATERA BARAT,PESISIR SELATAN,BAYANG,KOTO BERAPAK,"Jl. Pasar Baru Asam Kumbang, Koto Berapak",SPPG Pesisir Selatan Bayang Kota Berapak
56,JAWA BARAT,CIREBON,CILEDUG,JATISEENG KIDUL,"Jl. Pangeran Walangsungsang, No.51, Jatiseeng Kidul, Kec. Ciledug, Kab. Cirebon, Jawa Barat",SPPG Cirebon Ciledug Jatiseeng Kidul 2
57,KALIMANTAN BARAT,KOTA PONTIANAK,PONTIANAK UTARA,SIANTAN HILIR,"Jalan Teluk Sahang, Kelurahan Siantan Hilir, Kecamatan Pontianak Utara, Kota Pontianak, Provinsi Kalimantan Barat",SPPG Kota Pontianak Pontianak Utara Siantan Hilir 3
58,JAWA BARAT,BANDUNG,BANJARAN,KIANGROKE,"Jl. Pahlawan No. 27 Rt 001 Rw 013, Desa Kiangroke, Kec. Banjaran, Kab. Bandung, Jawa Barat",SPPG Bandung Banjaran Kiangroke 4
